,Boaster FNC,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC
leaf G2,5 2 +3,2 4 -2,6 1 +5,1 5 -4,3 5 -2
jawgemo G2,2 1 +1,3 6 -3,3 2 +1,1 6 -5,2 6 -4
trent G2,6 1 +5,2 3 -1,3 0 +3,3 6 -3,2 5 -3
JonahP G2,0 1 -1,5 1 +4,3 5 -2,3 6 -3,1 5 -4
valyn G2,3 2 +1,3 3 +0,1 3 -2,5 4 +1,6 4 +2
