,Boaster FNC,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC
leaf G2,9 11 -2,5 6 -1,10 2 +8,2 11 -9,9 9 +0
jawgemo G2,3 4 -1,7 11 -4,5 5 +0,5 6 -1,4 13 -9
trent G2,10 5 +5,7 5 +2,6 1 +5,7 12 -5,5 8 -3
JonahP G2,3 3 +0,7 7 +0,6 8 -2,7 10 -3,3 7 -4
valyn G2,5 5 +0,5 8 -3,3 7 -4,8 8 +0,6 9 -3
