,Wo0t TH,benjyfishy TH,RieNs TH,Boo TH,MiniBoo TH
Mazino LEV,1 0 +1,1 0 +1,2 0 +2,,0 1 -1
C0M LEV,,,,,0 1 -1
tex LEV,1 0 +1,1 1 +0,1 0 +1,2 0 +2,3 0 +3
kiNgg LEV,,,1 1 +0,,1 0 +1
aspas LEV,,1 1 +0,,0 1 -1,0 1 -1
