,Wo0t TH,benjyfishy TH,RieNs TH,Boo TH,MiniBoo TH
Mazino LEV,16 14 +2,10 14 -4,12 13 -1,8 9 -1,8 13 -5
C0M LEV,10 12 -2,10 8 +2,15 14 +1,6 10 -4,10 14 -4
tex LEV,12 9 +3,10 18 -8,10 15 -5,11 11 +0,14 16 -2
kiNgg LEV,9 6 +3,12 12 +0,7 15 -8,12 15 -3,15 10 +5
aspas LEV,9 16 -7,12 8 +4,10 11 -1,13 14 -1,12 13 -1
