,Wo0t TH,benjyfishy TH,RieNs TH,Boo TH,MiniBoo TH
Mazino LEV,6 5 +1,3 2 +1,4 5 -1,2 2 +0,4 4 +0
C0M LEV,2 4 -2,2 3 -1,8 6 +2,2 1 +1,3 5 -2
tex LEV,4 2 +2,5 5 +0,3 5 -2,4 4 +0,3 6 -3
kiNgg LEV,2 2 +0,3 6 -3,3 6 -3,5 1 +4,2 4 -2
aspas LEV,4 6 -2,3 2 +1,3 3 +0,6 7 -1,5 3 +2
