,Wo0t TH,benjyfishy TH,RieNs TH,Boo TH,MiniBoo TH
Mazino LEV,1 0 +1,,1 2 -1,,1 1 +0
C0M LEV,,,2 0 +2,1 0 +1,0 2 -2
tex LEV,2 0 +2,,1 0 +1,0 2 -2,0 1 -1
kiNgg LEV,0 1 -1,,,0 1 -1,0 2 -2
aspas LEV,0 1 -1,,1 0 +1,2 1 +1,1 1 +0
