,Wo0t TH,benjyfishy TH,RieNs TH,Boo TH,MiniBoo TH
Mazino LEV,,,2 1 +1,0 1 -1,0 1 -1
C0M LEV,,,,,
tex LEV,,0 1 -1,,,0 2 -2
kiNgg LEV,1 0 +1,1 0 +1,,,1 2 -1
aspas LEV,0 2 -2,,3 0 +3,,1 1 +0
