,Wo0t TH,benjyfishy TH,RieNs TH,Boo TH,MiniBoo TH
Mazino LEV,2 3 -1,1 3 -2,2 4 -2,0 3 -3,0 3 -3
C0M LEV,2 3 -1,5 1 +4,3 6 -3,0 2 -2,3 2 +1
tex LEV,3 2 +1,3 3 +0,1 2 -1,2 2 +0,2 6 -4
kiNgg LEV,3 1 +2,1 2 -1,2 4 -2,3 4 -1,6 3 +3
aspas LEV,2 6 -4,3 1 +2,3 2 +1,3 1 +2,2 5 -3
