,Wo0t TH,benjyfishy TH,RieNs TH,Boo TH,MiniBoo TH
Mazino LEV,5 6 -1,5 3 +2,6 1 +5,3 3 +0,2 2 +0
C0M LEV,5 3 +2,2 2 +0,2 2 +0,4 3 +1,2 3 -1
tex LEV,1 3 -2,1 8 -7,3 3 +0,4 4 +0,8 0 +8
kiNgg LEV,4 1 +3,6 3 +3,2 3 -1,1 4 -3,5 1 +4
aspas LEV,3 1 +2,4 4 +0,1 3 -2,4 2 +2,2 2 +0
