,Boaster FNC,Alfajer FNC,Chronicle FNC,kaajak FNC,crashies FNC
nAts TL,7 6 +1,6 8 -2,4 5 -1,8 4 +4,7 4 +3
trexx TL,6 2 +4,5 9 -4,9 2 +7,4 7 -3,6 3 +3
kamo TL,6 4 +2,8 6 +2,7 3 +4,10 5 +5,11 7 +4
keiko TL,4 5 -1,9 7 +2,9 2 +7,7 4 +3,7 7 +0
paTiTek TL,9 1 +8,2 5 -3,5 5 +0,4 6 -2,5 2 +3
