,Boaster FNC,Alfajer FNC,Chronicle FNC,kaajak FNC,crashies FNC
nAts TL,,1 0 +1,,2 3 -1,
trexx TL,2 0 +2,3 1 +2,1 0 +1,1 2 -1,0 1 -1
kamo TL,1 1 +0,0 1 -1,2 1 +1,2 2 +0,1 0 +1
keiko TL,1 0 +1,1 1 +0,1 0 +1,0 2 -2,
paTiTek TL,2 0 +2,0 1 -1,1 0 +1,1 1 +0,
