,Boaster FNC,Alfajer FNC,Chronicle FNC,kaajak FNC,crashies FNC
nAts TL,,,,0 3 -3,
trexx TL,1 0 +1,1 1 +0,1 0 +1,1 2 -1,0 1 -1
kamo TL,1 1 +0,0 1 -1,0 1 -1,2 1 +1,
keiko TL,1 0 +1,,1 0 +1,,
paTiTek TL,2 0 +2,0 1 -1,1 0 +1,1 1 +0,
