,Boaster FNC,Alfajer FNC,Chronicle FNC,kaajak FNC,crashies FNC
nAts TL,4 3 +1,4 6 -2,2 3 -1,4 3 +1,4 3 +1
trexx TL,3 1 +2,3 8 -5,5 2 +3,2 5 -3,3 1 +2
kamo TL,3 4 -1,4 4 +0,4 2 +2,7 3 +4,6 4 +2
keiko TL,2 3 -1,5 6 -1,5 2 +3,4 1 +3,7 4 +3
paTiTek TL,6 1 +5,0 5 -5,4 3 +1,3 3 +0,3 1 +2
