,Boaster FNC,Alfajer FNC,Chronicle FNC,kaajak FNC,crashies FNC
nAts TL,3 3 +0,2 2 +0,2 2 +0,4 1 +3,3 1 +2
trexx TL,3 1 +2,2 1 +1,4 0 +4,2 2 +0,3 2 +1
kamo TL,3 0 +3,4 2 +2,3 1 +2,3 2 +1,5 3 +2
keiko TL,2 2 +0,4 1 +3,4 0 +4,3 3 +0,0 3 -3
paTiTek TL,3 0 +3,2 0 +2,1 2 -1,1 3 -2,2 1 +1
