,leaf G2,icy G2,valyn G2,trent G2,JonahP G2
CHICHOO EDG,5 0 +5,4 4 +0,4 5 -1,6 0 +6,2 3 -1
nobody EDG,3 2 +1,1 3 -2,0 5 -5,1 2 -1,1 3 -2
S1Mon EDG,3 2 +1,1 3 -2,6 2 +4,5 3 +2,4 2 +2
Smoggy EDG,5 1 +4,3 2 +1,1 2 -1,2 2 +0,6 5 +1
ZmjjKK EDG,2 2 +0,6 4 +2,5 3 +2,3 0 +3,2 2 +0
