,leaf G2,icy G2,valyn G2,trent G2,JonahP G2
CHICHOO EDG,1 2 -1,,,1 0 +1,1 0 +1
nobody EDG,,0 1 -1,0 2 -2,,
S1Mon EDG,0 1 -1,0 1 -1,,,0 1 -1
Smoggy EDG,0 1 -1,1 0 +1,,1 0 +1,
ZmjjKK EDG,0 3 -3,3 0 +3,,1 2 -1,1 0 +1
