,leaf G2,icy G2,valyn G2,trent G2,JonahP G2
CHICHOO EDG,1 0 +1,1 0 +1,1 0 +1,2 1 +1,1 0 +1
nobody EDG,1 0 +1,1 1 +0,,,1 0 +1
S1Mon EDG,0 1 -1,2 0 +2,,0 1 -1,
Smoggy EDG,,0 1 -1,,,1 0 +1
ZmjjKK EDG,2 1 +1,1 1 +0,1 0 +1,1 0 +1,
