,leaf G2,icy G2,valyn G2,trent G2,JonahP G2
CHICHOO EDG,11 5 +6,11 10 +1,9 11 -2,14 8 +6,5 9 -4
nobody EDG,6 5 +1,3 12 -9,4 12 -8,6 8 -2,10 8 +2
S1Mon EDG,9 9 +0,11 8 +3,15 11 +4,10 9 +1,13 6 +7
Smoggy EDG,15 8 +7,8 13 -5,4 10 -6,8 6 +2,14 6 +8
ZmjjKK EDG,11 13 -2,14 9 +5,11 10 +1,10 13 -3,7 4 +3
