,leaf G2,icy G2,valyn G2,trent G2,JonahP G2
CHICHOO EDG,2 1 +1,5 4 +1,4 4 +0,6 6 +0,2 3 -1
nobody EDG,2 2 +0,1 6 -5,1 3 -2,2 2 +0,4 3 +1
S1Mon EDG,4 4 +0,7 3 +4,5 4 +1,3 3 +0,5 1 +4
Smoggy EDG,6 3 +3,1 6 -5,2 3 -1,3 3 +0,7 1 +6
ZmjjKK EDG,4 5 -1,2 5 -3,2 4 -2,3 4 -1,1 2 -1
