,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
nobody EDG,,,,,,,,,,,37,8,0
ZmjjKK EDG,,,1 Round 20 leaf icy valyn,,,,,,,,39,0,0
Smoggy EDG,,2 Round 4 leaf JonahP Round 15 leaf JonahP,1 Round 18 valyn leaf trent,1 Round 3 icy valyn trent leaf,,,1 Round 18 leaf trent,,,,62,2,0
S1Mon EDG,,6 Round 8 icy trent S1Mon Round 13 valyn icy Round 15 icy valyn Round 16 valyn icy Round 20 trent JonahP Round 21 icy valyn,1 Round 6 leaf JonahP icy,1 Round 17 valyn trent JonahP leaf,,,1 Round 6 icy JonahP,,,,66,0,0
CHICHOO EDG,,2 Round 22 valyn icy Round 23 trent valyn,2 Round 12 valyn icy trent Round 13 leaf trent JonahP,,,,1 Round 12 icy trent,,,,55,1,0
valyn G2,,1 Round 7 ZmjjKK S1Mon,3 Round 4 nobody CHICHOO Smoggy Round 11 Smoggy nobody S1Mon Round 24 ZmjjKK CHICHOO S1Mon,1 Round 10 CHICHOO Smoggy ZmjjKK S1Mon,,,1 Round 4 Smoggy CHICHOO,,,,54,2,0
JonahP G2,,,1 Round 6 ZmjjKK Smoggy nobody,,,,,,,,36,0,0
leaf G2,,3 Round 16 nobody ZmjjKK Round 18 ZmjjKK S1Mon Round 23 ZmjjKK Smoggy,1 Round 19 S1Mon Smoggy ZmjjKK,,,,,,,,51,0,1
icy G2,,2 Round 12 nobody Smoggy Round 24 nobody Smoggy,,3 Round 1 S1Mon ZmjjKK Smoggy CHICHOO Round 8 nobody CHICHOO ZmjjKK Smoggy Round 22 nobody ZmjjKK S1Mon Smoggy,,,,,,,60,0,1
trent G2,,4 Round 3 CHICHOO ZmjjKK Round 5 ZmjjKK Smoggy Round 11 ZmjjKK CHICHOO Round 18 CHICHOO nobody,2 Round 2 S1Mon Smoggy nobody Round 16 CHICHOO S1Mon Smoggy,,,,,,,,50,7,1
