,leaf G2,icy G2,valyn G2,trent G2,JonahP G2
CHICHOO EDG,4 4 +0,2 2 +0,1 2 -1,2 2 +0,1 3 -2
nobody EDG,1 1 +0,1 3 -2,3 4 -1,3 4 -1,5 2 +3
S1Mon EDG,2 3 -1,3 2 +1,4 5 -1,2 3 -1,4 3 +1
Smoggy EDG,4 4 +0,4 5 -1,1 5 -4,3 1 +2,1 0 +1
ZmjjKK EDG,5 6 -1,6 0 +6,4 3 +1,4 9 -5,4 0 +4
