,Smoggy EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Jieni7 EDG
skuba NRG,4 5 -1,3 5 -2,3 1 +2,5 2 +3,4 2 +2
brawk NRG,3 3 +0,1 2 -1,1 1 +0,2 5 -3,3 8 -5
Ethan NRG,3 2 +1,6 1 +5,3 4 -1,4 9 -5,3 0 +3
mada NRG,3 6 -3,3 3 +0,3 4 -1,2 3 -1,4 2 +2
s0m NRG,4 4 +0,4 4 +0,6 4 +2,4 4 +0,5 1 +4
