,Smoggy EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Jieni7 EDG
skuba NRG,,,,0 1 -1,
brawk NRG,,,,0 2 -2,
Ethan NRG,,,,0 1 -1,
mada NRG,2 0 +2,2 0 +2,2 0 +2,1 1 +0,2 0 +2
s0m NRG,,,,0 3 -3,
