,Smoggy EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Jieni7 EDG
skuba NRG,,,,1 0 +1,1 0 +1
brawk NRG,,1 0 +1,2 0 +2,2 1 +1,0 1 -1
Ethan NRG,,0 1 -1,1 0 +1,1 5 -4,
mada NRG,,,1 3 -2,3 1 +2,1 0 +1
s0m NRG,0 1 -1,0 1 -1,,0 1 -1,2 1 +1
