,Smoggy EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Jieni7 EDG
skuba NRG,0 1 -1,1 1 +0,,0 1 -1,1 1 +0
brawk NRG,,,,,1 2 -1
Ethan NRG,,,,2 2 +0,
mada NRG,,1 1 +0,2 2 +0,,0 2 -2
s0m NRG,,,1 0 +1,0 1 -1,0 1 -1
