,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
brawk NRG,,5 Round 3 nobody Smoggy Round 8 ZmjjKK Jieni7 Round 11 nobody ZmjjKK Round 16 CHICHOO Smoggy Round 20 ZmjjKK CHICHOO,1 Round 13 CHICHOO ZmjjKK nobody,,,,,,,,50,3,1
s0m NRG,,3 Round 1 Jieni7 CHICHOO Round 14 Smoggy ZmjjKK Round 24 Smoggy Jieni7,,1 Round 31 Jieni7 CHICHOO Smoggy nobody,,,,,,,35,10,0
mada NRG,,5 Round 11 Jieni7 CHICHOO Round 16 nobody ZmjjKK Round 19 ZmjjKK CHICHOO Round 28 ZmjjKK Smoggy Round 29 Jieni7 nobody,4 Round 15 ZmjjKK nobody Smoggy Round 20 nobody Smoggy Jieni7 Round 24 nobody CHICHOO ZmjjKK mada Round 32 CHICHOO nobody ZmjjKK,,,,1 Round 24 CHICHOO ZmjjKK,,,,52,0,0
skuba NRG,,2 Round 12 CHICHOO Jieni7 Round 21 nobody Smoggy,2 Round 17 Jieni7 Smoggy ZmjjKK Round 29 CHICHOO ZmjjKK Smoggy,1 Round 4 Jieni7 Smoggy nobody CHICHOO,,1 Round 4 CHICHOO,,,,,45,1,0
Ethan NRG,,4 Round 7 nobody Smoggy Round 10 Jieni7 Smoggy Round 21 ZmjjKK Jieni7 Round 23 Jieni7 nobody,1 Round 26 nobody CHICHOO Smoggy,,,,,,,,49,2,0
nobody EDG,,3 Round 8 skuba mada Round 17 mada brawk Round 27 Ethan mada,1 Round 21 s0m mada brawk,,,,,,,,43,5,1
ZmjjKK EDG,,4 Round 7 s0m skuba Round 11 s0m mada Round 13 Ethan mada Round 24 Ethan brawk,2 Round 19 Ethan brawk s0m Round 30 mada Ethan skuba,,,,,,,,44,1,0
Smoggy EDG,,4 Round 8 Ethan s0m Round 13 skuba brawk Round 16 mada skuba Round 22 Ethan mada,3 Round 1 s0m brawk mada Round 2 brawk Ethan s0m Round 6 brawk s0m mada,,,,1 Round 13 brawk skuba,1 Round 1 brawk mada s0m,,,44,1,1
CHICHOO EDG,,5 Round 4 Ethan mada Round 5 mada s0m Round 6 skuba Ethan Round 9 mada Ethan Round 26 mada s0m,,,,,,,,,41,5,0
Jieni7 EDG,,4 Round 11 skuba Ethan Round 12 s0m Ethan Round 18 mada brawk Round 20 Ethan skuba,3 Round 10 brawk skuba mada Round 25 s0m Ethan mada Round 27 brawk s0m skuba,,,,,,,,36,1,1
