,Smoggy EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Jieni7 EDG
skuba NRG,9 7 +2,7 11 -4,10 3 +7,8 6 +2,13 9 +4
brawk NRG,5 9 -4,5 5 +0,6 4 +2,10 9 +1,5 12 -7
Ethan NRG,6 6 +0,10 3 +7,7 8 -1,7 17 -10,9 4 +5
mada NRG,7 12 -5,11 8 +3,9 11 -2,11 6 +5,8 5 +3
s0m NRG,7 12 -5,6 8 -2,9 9 +0,7 8 -1,12 4 +8
