,Smoggy EDG,nobody EDG,CHICHOO EDG,ZmjjKK EDG,Jieni7 EDG
skuba NRG,5 2 +3,4 6 -2,7 2 +5,3 4 -1,9 7 +2
brawk NRG,2 6 -4,4 3 +1,5 3 +2,8 4 +4,2 4 -2
Ethan NRG,3 4 -1,4 2 +2,4 4 +0,3 8 -5,6 4 +2
mada NRG,4 6 -2,8 5 +3,6 7 -1,9 3 +6,4 3 +1
s0m NRG,3 8 -5,2 4 -2,3 5 -2,3 4 -1,7 3 +4
