,marteen KC,SUYGETSU KC,Elite KC,Avez KC,saadhak KC
Derke VIT,,2 1 +1,,1 0 +1,1 0 +1
Kicks VIT,1 0 +1,1 0 +1,2 0 +2,,0 1 -1
Less VIT,,,1 0 +1,,1 0 +1
trexx VIT,,,1 0 +1,,
Sayf VIT,1 0 +1,,0 1 -1,0 1 -1,2 0 +2
