,marteen KC,SUYGETSU KC,Elite KC,Avez KC,saadhak KC
Derke VIT,14 11 +3,10 19 -9,7 9 -2,21 10 +11,14 5 +9
Kicks VIT,12 10 +2,10 10 +0,13 10 +3,6 14 -8,7 10 -3
Less VIT,7 9 -2,7 6 +1,9 10 -1,6 5 +1,8 13 -5
trexx VIT,7 10 -3,15 8 +7,10 8 +2,12 9 +3,11 10 +1
Sayf VIT,9 10 -1,6 10 -4,8 8 +0,9 14 -5,11 4 +7
