,marteen KC,SUYGETSU KC,Elite KC,Avez KC,saadhak KC
Derke VIT,9 7 +2,4 6 -2,1 6 -5,11 3 +8,7 3 +4
Kicks VIT,5 6 -1,4 5 -1,4 3 +1,2 6 -4,3 4 -1
Less VIT,1 3 -2,1 2 -1,6 4 +2,2 3 -1,3 4 -1
trexx VIT,4 4 +0,8 2 +6,7 5 +2,4 4 +0,6 5 +1
Sayf VIT,3 6 -3,3 4 -1,3 1 +2,5 6 -1,5 1 +4
