,marteen KC,SUYGETSU KC,Elite KC,Avez KC,saadhak KC
Derke VIT,2 6 -4,2 4 -2,1 1 +0,3 1 +2,5 1 +4
Kicks VIT,5 0 +5,1 0 +1,2 1 +1,0 2 -2,0 2 -2
Less VIT,1 1 +0,1 0 +1,1 2 -1,,1 1 +0
trexx VIT,1 1 +0,1 0 +1,4 0 +4,1 1 +0,
Sayf VIT,2 2 +0,0 1 -1,1 1 +0,0 3 -3,3 3 +0
