,marteen KC,SUYGETSU KC,Elite KC,Avez KC,saadhak KC
Derke VIT,0 2 -2,0 3 -3,,1 0 +1,
Kicks VIT,2 0 +2,,,,
Less VIT,1 1 +0,,0 1 -1,,0 1 -1
trexx VIT,1 0 +1,1 0 +1,,1 1 +0,
Sayf VIT,1 1 +0,,1 0 +1,0 1 -1,0 2 -2
