,marteen KC,SUYGETSU KC,Elite KC,Avez KC,saadhak KC
Derke VIT,2 4 -2,,1 1 +0,1 1 +0,4 1 +3
Kicks VIT,2 0 +2,,0 1 -1,0 2 -2,0 1 -1
Less VIT,,1 0 +1,0 1 -1,,
trexx VIT,0 1 -1,,3 0 +3,,
Sayf VIT,0 1 -1,0 1 -1,,0 1 -1,1 1 +0
