,marteen KC,SUYGETSU KC,Elite KC,Avez KC,saadhak KC
Derke VIT,4 1 +3,3 5 -2,2 2 +0,5 4 +1,2 1 +1
Kicks VIT,3 2 +1,3 4 -1,6 4 +2,2 2 +0,3 2 +1
Less VIT,4 1 +3,4 1 +3,1 3 -2,2 2 +0,4 2 +2
trexx VIT,1 1 +0,3 4 -1,3 2 +1,5 1 +4,3 2 +1
Sayf VIT,3 2 +1,1 3 -2,3 4 -1,3 4 -1,2 0 +2
