,Akeman DRG,Demon1 DRG,SpiritZ1 DRG,Flex1n DRG,Nicc DRG
jawgemo G2,7 5 +2,7 4 +3,7 6 +1,8 10 -2,10 2 +8
JonahP G2,4 8 -4,5 5 +0,11 3 +8,4 6 -2,5 4 +1
trent G2,9 6 +3,4 7 -3,4 5 -1,4 3 +1,5 1 +4
valyn G2,3 2 +1,4 6 -2,7 8 -1,7 5 +2,1 4 -3
leaf G2,8 10 -2,6 3 +3,5 5 +0,6 5 +1,10 4 +6
