,Akeman DRG,Demon1 DRG,SpiritZ1 DRG,Flex1n DRG,Nicc DRG
jawgemo G2,4 1 +3,6 2 +4,2 3 -1,5 6 -1,6 1 +5
JonahP G2,1 3 -2,2 2 +0,6 2 +4,2 3 -1,3 3 +0
trent G2,8 2 +6,1 5 -4,3 1 +2,3 2 +1,4 0 +4
valyn G2,2 1 +1,2 4 -2,4 4 +0,2 3 -1,1 3 -2
leaf G2,1 4 -3,2 1 +1,2 4 -2,3 3 +0,4 3 +1
