,Akeman DRG,Demon1 DRG,SpiritZ1 DRG,Flex1n DRG,Nicc DRG
jawgemo G2,3 4 -1,1 2 -1,5 3 +2,3 4 -1,4 1 +3
JonahP G2,3 5 -2,3 3 +0,5 1 +4,2 3 -1,2 1 +1
trent G2,1 4 -3,3 2 +1,1 4 -3,1 1 +0,1 1 +0
valyn G2,1 1 +0,2 2 +0,3 4 -1,5 2 +3,0 1 -1
leaf G2,7 6 +1,4 2 +2,3 1 +2,3 2 +1,6 1 +5
