,Akeman DRG,Demon1 DRG,SpiritZ1 DRG,Flex1n DRG,Nicc DRG
jawgemo G2,0 2 -2,,1 1 +0,2 0 +2,3 0 +3
JonahP G2,0 1 -1,,1 0 +1,,
trent G2,0 1 -1,0 1 -1,0 1 -1,0 1 -1,
valyn G2,,,0 1 -1,0 1 -1,
leaf G2,0 1 -1,1 0 +1,,,1 0 +1
