,Akeman DRG,Demon1 DRG,SpiritZ1 DRG,Flex1n DRG,Nicc DRG
jawgemo G2,0 3 -3,1 1 +0,2 3 -1,2 2 +0,4 0 +4
JonahP G2,0 1 -1,,4 2 +2,,
trent G2,1 2 -1,0 1 -1,0 1 -1,0 1 -1,
valyn G2,1 0 +1,,0 1 -1,0 2 -2,
leaf G2,0 1 -1,1 0 +1,1 1 +0,,1 0 +1
