,Akeman DRG,Demon1 DRG,SpiritZ1 DRG,Flex1n DRG,Nicc DRG
jawgemo G2,0 1 -1,1 1 +0,1 2 -1,0 2 -2,1 0 +1
JonahP G2,,,3 2 +1,,
trent G2,1 1 +0,,,,
valyn G2,1 0 +1,,,0 1 -1,
leaf G2,,,1 1 +0,,
