,gobera 2G,Askia 2G,silentzz 2G,PxS 2G,lz 2G
eeiu 100T,3 4 -1,1 4 -3,2 1 +1,4 6 -2,3 3 +0
Asuna 100T,4 6 -2,3 4 -1,2 2 +0,4 1 +3,5 4 +1
Boostio 100T,5 3 +2,9 4 +5,3 6 -3,4 3 +1,3 5 -2
zander 100T,2 3 -1,2 5 -3,2 5 -3,4 0 +4,4 9 -5
Cryocells 100T,5 3 +2,4 1 +3,11 7 +4,5 4 +1,5 3 +2
