,gobera 2G,Askia 2G,silentzz 2G,PxS 2G,lz 2G
eeiu 100T,,,,0 1 -1,
Asuna 100T,1 0 +1,,,,
Boostio 100T,2 0 +2,1 2 -1,,1 0 +1,1 1 +0
zander 100T,1 0 +1,,1 0 +1,0 1 -1,0 1 -1
Cryocells 100T,1 0 +1,0 2 -2,1 0 +1,,0 1 -1
