,gobera 2G,Askia 2G,silentzz 2G,PxS 2G,lz 2G
eeiu 100T,2 1 +1,4 2 +2,2 1 +1,1 4 -3,3 4 -1
Asuna 100T,2 3 -1,2 4 -2,1 2 -1,4 1 +3,2 1 +1
Boostio 100T,4 0 +4,5 5 +0,4 4 +0,4 0 +4,3 4 -1
zander 100T,3 1 +2,2 2 +0,4 0 +4,2 5 -3,3 2 +1
Cryocells 100T,3 1 +2,4 4 +0,5 0 +5,4 1 +3,4 2 +2
