,gobera 2G,Askia 2G,silentzz 2G,PxS 2G,lz 2G
eeiu 100T,5 5 +0,5 6 -1,4 2 +2,5 10 -5,6 7 -1
Asuna 100T,6 9 -3,5 8 -3,3 4 -1,8 2 +6,7 5 +2
Boostio 100T,9 3 +6,14 9 +5,7 10 -3,8 3 +5,6 9 -3
zander 100T,5 4 +1,4 7 -3,6 5 +1,6 5 +1,7 11 -4
Cryocells 100T,8 4 +4,8 5 +3,16 7 +9,9 5 +4,9 5 +4
