,mitch C9,neT C9,OXY C9,v1c C9,Xeppaa C9
bang SEN,,,1 1 +0,,0 1 -1
Zellsis SEN,,,,0 1 -1,0 1 -1
zekken SEN,2 0 +2,,1 2 -1,2 1 +1,1 0 +1
N4RRATE SEN,1 0 +1,1 0 +1,,1 0 +1,0 1 -1
johnqt SEN,,,,,
