,mitch C9,neT C9,OXY C9,v1c C9,Xeppaa C9
bang SEN,2 1 +1,4 3 +1,5 1 +4,4 1 +3,3 2 +1
Zellsis SEN,1 1 +0,4 0 +4,0 2 -2,0 2 -2,3 3 +0
zekken SEN,2 3 -1,2 1 +1,6 5 +1,4 2 +2,5 1 +4
N4RRATE SEN,5 1 +4,1 1 +0,5 2 +3,6 3 +3,1 4 -3
johnqt SEN,3 4 -1,2 1 +1,2 2 +0,2 0 +2,1 2 -1
