,mitch C9,neT C9,OXY C9,v1c C9,Xeppaa C9
bang SEN,,,1 2 -1,,
Zellsis SEN,1 0 +1,0 1 -1,,,0 1 -1
zekken SEN,1 1 +0,,0 3 -3,0 1 -1,1 1 +0
N4RRATE SEN,1 0 +1,1 0 +1,1 2 -1,0 1 -1,1 0 +1
johnqt SEN,,1 0 +1,,,
