,mitch C9,neT C9,OXY C9,v1c C9,Xeppaa C9
bang SEN,,,2 3 -1,,0 1 -1
Zellsis SEN,1 0 +1,0 1 -1,,0 1 -1,0 2 -2
zekken SEN,3 1 +2,,1 5 -4,2 2 +0,2 1 +1
N4RRATE SEN,2 0 +2,2 0 +2,1 2 -1,1 1 +0,1 1 +0
johnqt SEN,,1 0 +1,,,
