,tex LEV,Rossy LEV,Demon1 LEV,C0M LEV,kiNgg LEV
havoc FUR,0 7 -7,2 2 +0,1 4 -3,5 1 +4,2 2 +0
Khalil FUR,2 5 -3,3 2 +1,3 3 +0,2 3 -1,0 2 -2
heat FUR,3 2 +1,3 3 +0,2 3 -1,4 3 +1,4 4 +0
pryze FUR,3 2 +1,1 4 -3,1 3 -2,,1 7 -6
raafa FUR,2 3 -1,2 3 -1,3 4 -1,0 2 -2,2 3 -1
