,tex LEV,Rossy LEV,Demon1 LEV,C0M LEV,kiNgg LEV
havoc FUR,,,,,0 1 -1
Khalil FUR,0 1 -1,,,,
heat FUR,,,,,0 1 -1
pryze FUR,,,,,0 2 -2
raafa FUR,,,,,0 2 -2
