,tex LEV,Rossy LEV,Demon1 LEV,C0M LEV,kiNgg LEV
havoc FUR,0 1 -1,1 1 +0,1 0 +1,0 1 -1,0 1 -1
Khalil FUR,,,,,1 0 +1
heat FUR,1 0 +1,1 1 +0,1 0 +1,,1 1 +0
pryze FUR,,,,,0 1 -1
raafa FUR,,,0 1 -1,,1 1 +0
