,tex LEV,Rossy LEV,Demon1 LEV,C0M LEV,kiNgg LEV
havoc FUR,0 2 -2,2 1 +1,1 1 +0,2 1 +1,0 2 -2
Khalil FUR,0 1 -1,2 0 +2,,,1 0 +1
heat FUR,1 0 +1,1 1 +0,1 0 +1,,1 2 -1
pryze FUR,,0 1 -1,0 2 -2,,0 2 -2
raafa FUR,0 1 -1,0 1 -1,0 1 -1,,1 3 -2
