,tex LEV,Rossy LEV,Demon1 LEV,C0M LEV,kiNgg LEV
havoc FUR,0 1 -1,1 0 +1,0 1 -1,2 0 +2,0 1 -1
Khalil FUR,0 1 -1,2 0 +2,,,
heat FUR,,,,,0 1 -1
pryze FUR,,0 1 -1,0 2 -2,,0 1 -1
raafa FUR,0 1 -1,0 1 -1,,,0 2 -2
