,Alfajer FNC,Derke FNC,Boaster FNC,hiro FNC,Chronicle FNC
Boo TH,,,,,
benjyfishy TH,,,,,
MiniBoo TH,1 0 +1,0 1 -1,1 0 +1,1 0 +1,1 0 +1
RieNs TH,,1 0 +1,,,
Wo0t TH,,0 1 -1,,,
