,Alfajer FNC,Derke FNC,Boaster FNC,hiro FNC,Chronicle FNC
Boo TH,4 1 +3,2 4 -2,1 1 +0,1 1 +0,3 1 +2
benjyfishy TH,2 2 +0,2 1 +1,2 0 +2,1 1 +0,5 1 +4
MiniBoo TH,3 1 +2,3 5 -2,1 2 -1,2 2 +0,2 1 +1
RieNs TH,1 1 +0,3 1 +2,5 0 +5,4 2 +2,1 4 -3
Wo0t TH,3 1 +2,5 2 +3,3 0 +3,3 1 +2,4 1 +3
