,Alfajer FNC,Derke FNC,Boaster FNC,hiro FNC,Chronicle FNC
Boo TH,1 0 +1,,,1 0 +1,
benjyfishy TH,,1 0 +1,,,
MiniBoo TH,,0 2 -2,1 1 +0,1 0 +1,
RieNs TH,,2 0 +2,2 0 +2,,0 2 -2
Wo0t TH,,,1 0 +1,1 0 +1,
