,Alfajer FNC,Derke FNC,Boaster FNC,hiro FNC,Chronicle FNC
Boo TH,,0 1 -1,,,1 1 +0
benjyfishy TH,,1 3 -2,0 1 -1,1 0 +1,
MiniBoo TH,,0 5 -5,3 0 +3,1 0 +1,1 2 -1
RieNs TH,,2 0 +2,,,
Wo0t TH,,0 1 -1,,,0 1 -1
