,Alfajer FNC,Derke FNC,Boaster FNC,hiro FNC,Chronicle FNC
Boo TH,2 5 -3,3 6 -3,2 0 +2,1 5 -4,3 2 +1
benjyfishy TH,3 2 +1,3 5 -2,6 4 +2,4 5 -1,2 5 -3
MiniBoo TH,2 3 -1,2 7 -5,6 0 +6,2 3 -1,4 5 -1
RieNs TH,7 3 +4,8 3 +5,3 2 +1,4 4 +0,4 5 -1
Wo0t TH,2 3 -1,2 7 -5,1 0 +1,3 4 -1,2 3 -1
