,Alfajer FNC,Derke FNC,Boaster FNC,hiro FNC,Chronicle FNC
Boo TH,6 6 +0,5 10 -5,3 1 +2,2 6 -4,6 3 +3
benjyfishy TH,5 4 +1,5 6 -1,8 4 +4,5 6 -1,7 6 +1
MiniBoo TH,5 4 +1,5 12 -7,7 2 +5,4 5 -1,6 6 +0
RieNs TH,8 4 +4,11 4 +7,8 2 +6,8 6 +2,5 9 -4
Wo0t TH,5 4 +1,7 9 -2,4 0 +4,6 5 +1,6 4 +2
