,Palla FUR,heat FUR,tuyz FUR,adverso FUR,Urango FUR
v1c C9,0 1 -1,,1 0 +1,1 0 +1,0 1 -1
mitch C9,0 1 -1,1 0 +1,,,0 2 -2
neT C9,1 1 +0,,0 1 -1,0 1 -1,0 1 -1
OXY C9,2 0 +2,3 1 +2,2 1 +1,1 1 +0,4 0 +4
Xeppaa C9,2 0 +2,,1 0 +1,3 0 +3,1 0 +1
