,Palla FUR,heat FUR,tuyz FUR,adverso FUR,Urango FUR
v1c C9,3 2 +1,1 5 -4,3 0 +3,3 0 +3,2 1 +1
mitch C9,3 1 +2,3 2 +1,4 2 +2,5 2 +3,3 1 +2
neT C9,1 3 -2,3 1 +2,0 1 -1,2 2 +0,3 1 +2
OXY C9,6 2 +4,6 3 +3,2 3 -1,4 4 +0,5 2 +3
Xeppaa C9,3 3 +0,2 1 +1,4 0 +4,0 4 -4,4 2 +2
