,Palla FUR,heat FUR,tuyz FUR,adverso FUR,Urango FUR
v1c C9,5 1 +4,2 1 +1,2 1 +1,1 0 +1,3 2 +1
mitch C9,1 1 +0,2 0 +2,0 3 -3,2 1 +1,1 2 -1
neT C9,2 2 +0,2 1 +1,3 0 +3,2 2 +0,3 0 +3
OXY C9,4 2 +2,4 3 +1,5 0 +5,3 2 +1,5 0 +5
Xeppaa C9,4 2 +2,5 1 +4,3 2 +1,7 3 +4,3 2 +1
