,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
mitch C9,,1 Round 13 adverso heat,2 Round 5 heat adverso tuyz Round 16 Urango tuyz adverso,1 Round 6 Urango Palla tuyz adverso,,1 Round 11 heat,,,,,75,3,1
neT C9,,4 Round 4 adverso heat neT Round 8 Urango adverso Round 17 Urango heat Round 18 Urango heat,,,,1 Round 4 heat,1 Round 18 heat Urango,,,,39,2,0
Xeppaa C9,,2 Round 4 Palla tuyz Round 18 tuyz Palla,,,,,,,,,70,1,1
v1c C9,,3 Round 1 tuyz adverso Round 2 tuyz Palla Round 15 tuyz Palla,,,,,,,,,63,3,0
OXY C9,,7 Round 2 heat adverso Round 9 Urango heat Round 11 Urango adverso Round 13 Urango Palla Round 15 adverso Urango Round 16 heat Palla Round 17 Palla tuyz,,1 Round 14 heat Palla tuyz adverso,,,,,,,65,0,0
tuyz FUR,,1 Round 9 OXY mitch,,,,1 Round 9 mitch,,,,,30,1,1
adverso FUR,,1 Round 11 Xeppaa neT,,,,1 Round 6 mitch,,,,,63,1,0
Urango FUR,,1 Round 6 neT v1c,,,,,,,,,36,0,0
heat FUR,,2 Round 12 v1c OXY Round 18 v1c mitch,2 Round 4 OXY Xeppaa v1c Round 11 v1c OXY mitch,,,,,,,,40,0,0
Palla FUR,,3 Round 1 mitch Xeppaa Round 2 neT OXY Round 7 Xeppaa v1c,,,,,,,,,51,0,0
